respondent	chosen	male	id	pct_price_change_8	available_8	pct_price_change_16	available_16	pct_price_change_15	available_15	pct_price_change_4	available_4	pct_price_change_20	available_20	pct_price_change_1	available_1	pct_price_change_13	available_13	pct_price_change_5	available_5	pct_price_change_11	available_11	pct_price_change_3	available_3	pct_price_change_14	available_14	pct_price_change_17	available_17	pct_price_change_0	available_0	pct_price_change_19	available_19	pct_price_change_12	available_12	pct_price_change_10	available_10	pct_price_change_18	available_18	pct_price_change_9	available_9	pct_price_change_6	available_6	pct_price_change_2	available_2	pct_price_change_7	available_7
52	20	1	251	0	0	0.15	1	-0.05	1	0	0	0.1	1	0	0	0	0	0.15	1	-0.05	1	0	0	0.05	1	0	1	0	1	0.1	1	0	1	0.1	1	0	0	0	0	0	0	0	0	0	0
7	20	1	106	0	0	0	0	0	0	0.15	1	0.15	1	0	0	0	0	0.15	1	-0.1	1	-0.1	1	0	0	0.05	1	0	1	0	0	-0.1	1	0.05	1	-0.05	1	0	0	0.1	1	0	0	0	0
21	19	1	120	0.05	1	0	0	0	0	0.05	1	0	0	-0.1	1	0	0	0	0	0	0	0.05	1	0.15	1	0.05	1	0	1	0.05	1	0	0	-0.1	1	0.15	1	0	0	0	0	0	0	0	1
86	19	1	285	0	0	0	0	0	0	0	0	0	0	0.1	1	0	0	0	1	-0.1	1	-0.05	1	0	0	0.15	1	0	1	0.05	1	0	1	0	0	0.15	1	0	0	0	1	0	0	0.1	1
82	20	0	681	0	0	0	1	-0.1	1	0	0	-0.05	1	-0.05	1	-0.1	1	0	0	0	0	0	0	0	0	0	0	0	1	0.05	1	0	0	0	0	0.15	1	0	1	0	0	0	1	0	1
67	17	0	866	-0.05	1	0	0	-0.05	1	0	0	0	0	0	0	0	0	0.1	1	0	0	-0.1	1	0.1	1	-0.05	1	0	1	0	0	-0.05	1	0.05	1	-0.1	1	0.1	1	0	0	0	0	0	0
65	20	1	264	0.1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.05	1	0	0	0.05	1	0	0	0	1	-0.1	1	-0.05	1	0.15	1	0.15	1	0	0	0	0	0.15	1	-0.05	1
88	19	0	887	0	1	0.15	1	-0.05	1	0	0	0	0	0.15	1	0	0	0	0	0.15	1	0	0	-0.05	1	0	0	0	1	-0.1	1	0.1	1	-0.1	1	0	1	0	0	0	0	0	0	0	0
2	17	0	601	0.15	1	0	0	0.15	1	0.15	1	0	0	0	0	0	0	0.15	1	0	0	-0.1	1	0	0	0.05	1	0	1	0	0	0	1	0	0	0	0	-0.05	1	-0.1	1	0.05	1	0	0
65	20	0	664	0	1	0	0	0.15	1	0	1	0.15	1	0	0	0	0	0.1	1	0	0	0	0	0	0	0	0	0	1	0.15	1	0	1	0	1	0.1	1	-0.1	1	0	0	0	0	0	0
3	19	0	802	0	0	0	0	0	0	0.05	1	0	0	0	0	0.1	1	-0.1	1	-0.1	1	0	0	0.05	1	0	0	0	1	-0.1	1	0.05	1	0	0	0	0	-0.1	1	0.05	1	-0.1	1	0	0
48	20	0	647	0.1	1	0	0	0.1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0.05	1	0	1	0	0	0	0	0.05	1	0	0	0.1	1	0	0	0.05	1	0	1
98	20	1	497	0	0	-0.05	1	0	0	0	0	-0.1	1	0	0	0	0	-0.05	1	-0.05	1	0	0	0	0	0	1	0	1	0.05	1	0	0	-0.05	1	0	0	0.05	1	0	0	-0.1	1	0	1
53	20	1	452	0	0	-0.1	1	0	1	0.15	1	-0.1	1	0	0	0	0	-0.1	1	0	0	0	0	0	0	0	0	0	1	0.1	1	0.15	1	0	0	0	0	0.1	1	-0.1	1	0	1	0	0
97	18	1	496	0.15	1	0.05	1	0	1	0	0	0.15	1	0	0	0	0	0	0	0	0	0	0	0.05	1	0	1	0	1	-0.05	1	0	0	0	0	0.15	1	0	0	0.05	1	-0.05	1	0	0
56	15	1	455	0	0	0	0	0.15	1	0	0	0	0	0	0	0	1	-0.1	1	0	0	-0.05	1	0	0	0	0	0	1	0	0	0	1	0.1	1	0	0	0.05	1	0.15	1	0	1	0.1	1
31	20	0	630	0	0	-0.1	1	0.05	1	0	0	0.1	1	-0.1	1	0	0	-0.05	1	0	0	0	0	0	0	0.15	1	0	1	0	0	0	0	0	0	0.05	1	0	1	0	1	0	1	0	0
10	18	1	209	-0.05	1	0	0	0	0	-0.1	1	0	0	0.05	1	-0.1	1	0	0	0	0	0.15	1	-0.05	1	0	0	0	1	0	0	0	0	0	0	-0.1	1	0.05	1	0.05	1	0	0	-0.1	1
